text,label
You think America has crooked laws?Women in other countries get executed in the street for shoning.You American hoes wouldn't make it.,0
"I found the ""boom, boom, boom, waaaaay ho"" girl. How the fuck does someone sing for 5 years and not progress at all? http://t.co/o6R9bYT5De",0
So many bitches think they're so much hotter than they are,0
"Is there a website that delivers expensive wine, cigars and big booty hoes to my door step?",0
Conan Obrien needs to get a life with that $80 million..monkey food maybe.,0
"RT @EmmGoldLA: A lot of ppl look at me like ""who the fuck does this bitch think she is"".... Ms. Goldschmied to you",0
Coulda been fckd yo bitch &#128564;,0
Lame mcs still let hoes in stilettos play them those hoes nothin To us we aint pimps but they still cant press this average @JoeBudden,0
I think about the fact that dinosaurs evolved into birds every time I eat chicken. Dinosaurs are delicious.,0
What's worse than #Ebola ? The F-ing retards trying to make it a race issue. Al Sharpton has caused more American death than ebola.,1
&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/yRfdaIooYZ,0
RT @CashOutMolly: bitches is stupid .. they get cheated on BY THEY MAN and wanna go fight the girl . NO BITCH leave that nigga and move on &#8230;,0
Y'all suck on flappy bird,0
"Why yes, functioning tho RT @blaaksuedepumps: Are you retarded?",0
@KazAtta he jus need to go to brazil get himself a bad brazilian bitch and jus relax,0
@JunDishes or a southern bitch like me who will blow a persons heart out of their back w/one shot!!!!,0
Apaches' 30 MM rounds turn Jihadis into tomato soup @MarkRothschild1 @Rockprincess818 @NoFear3136 @Lanna70115,0
Ain't that about a bitch... What does that mean?,0
"Dad say hi to my snapchat Dad ""&#9996;&#65039;&#9996;&#65039; duces bitch"" &#128514;&#128514;&#128553;&#128553;",0
This new shit i'm workin on... yea nigguh!,0
"RT @QuotingHistory: ""Gave that bitch some chocolate, bitches love chocolate."" - Forrest Gump",0
@K_forKicKs likkadawgg turn up ya bitch...fw ya dawg man,0
Charlie not fukin around in Austin.. Every week somebody getting kicked off the team.,0
So much more going on but hypocrisy doesn't sit well with me. My redneck family from central Illinois more black then Bieber!,0
How are you gonna be a cunt to your friends,0
Ya last nicca couldn't beat it ... I hit it like a free throw!,0
bitch I'm me.... baby I'm me!!!,0
bitch you be lagging lol @JawShoeeAhhh,0
From that point should saw how I treated that bitch fucked her now lose my number I ain't answering shit,0
"Fuck rebuild the tranny, I'm driving it like its been for the last 4 years till it finally goes out &#128514;&#128514;&#128514;",0
@Wagz This cold we have going around our little hick town had about everyone I know locked in their houses for better than a week. Stay well,0
"@big_msudawg11 oh state, just enjoy your trailer trash and your sub par sports.",0
fucking CHRIST i hate tutors and TAs. you literally get paid to teach retards to stop picking their nose. GET THE FUCK OUTTA MY FACE,1
This is great RT @AmPowerBlog loser &amp; coward @MikePrysner grabbed my iPhone and threw it in the street. He's a pussy. http://t.co/CVUbLNgXKj,0
I hate when bitches get lame &#128078;,0
&#8220;@prettycha305: Group chat bitches we call yall undercover Feds &#128110;&#128110;&#128110; watching everybody&#8221;,0
@GabrielaAngela4 @StephyRae7 Gabby why are you so ghetto?,0
